Selected mat file:
otherR/R_15.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|  258/1000 |      8s |        -34.44110 |  |   0.797730 |   -37.26614 |
|  259/1000 |      8s |        -34.44027 |  |   0.796444 |   -38.31512 |
|  260/1000 |      8s |        -34.42095 |  |   0.794777 |   -37.82639 |
|  261/1000 |      8s |        -34.46514 |  |   0.797461 |   -38.29876 |
|  262/1000 |      8s |        -34.45563 |  |   0.798204 |   -38.27208 |
|  263/1000 |      8s |        -34.48047 |  |   0.789114 |   -38.03433 |
|  264/1000 |      8s |        -34.42045 |  |   0.792871 |   -37.68786 |
|  265/1000 |      8s |        -34.37402 |  |   0.793006 |   -37.70537 |
|  266/1000 |      8s |        -34.50684 |  |   0.799623 |   -38.19685 |
|  267/1000 |      8s |        -34.51664 |  |   0.797799 |   -38.27520 |
|  268/1000 |      8s |        -34.57408 |  |   0.794541 |   -38.13328 |
|  269/1000 |      8s |        -34.50466 |  |   0.800243 |   -38.39082 |
|  270/1000 |      8s |        -34.56450 |  |   0.798575 |   -38.35867 |
|  271/1000 |      8s |        -34.49325 |  |   0.796961 |   -38.01043 |
|  272/1000 |      8s |        -34.57839 |  |   0.797861 |   -38.09872 |
|  273/1000 |      8s |        -34.55896 |  |   0.794830 |   -38.35971 |
|  274/1000 |      8s |        -34.51121 |  |   0.794331 |   -38.24512 |
|  275/1000 |      8s |        -34.57265 |  |   0.798411 |   -38.62880 |
|  276/1000 |      8s |        -34.57154 |  |   0.795752 |   -37.93329 |
|  277/1000 |      8s |        -34.61016 |  |   0.798647 |   -38.12843 |
|  278/1000 |      8s |        -34.64341 |  |   0.799764 |   -38.64825 |
|  279/1000 |      8s |        -34.64674 |  |   0.796433 |   -37.85412 |
|  280/1000 |      8s |        -34.62135 |  |   0.797340 |   -38.29984 |
|  281/1000 |      8s |        -34.67470 |  |   0.797278 |   -38.84551 |
|  282/1000 |      8s |        -34.65692 |  |   0.800403 |   -38.84761 |
|  283/1000 |      8s |        -34.64070 |  |   0.799585 |   -38.31766 |
|  284/1000 |      8s |        -34.69432 |  |   0.794897 |   -38.58071 |
|  285/1000 |      8s |        -34.75291 |  |   0.798196 |   -38.29808 |
|  286/1000 |      8s |        -34.68847 |  |   0.798224 |   -38.47926 |
|  287/1000 |      8s |        -34.73607 |  |   0.800980 |   -38.79887 |
|  288/1000 |      8s |        -34.72975 |  |   0.798476 |   -38.75792 |
|  289/1000 |      8s |        -34.77343 |  |   0.800854 |   -38.55734 |
|  290/1000 |      8s |        -34.73641 |  |   0.799996 |   -38.55114 |
|  291/1000 |      8s |        -34.79069 |  |   0.795660 |   -38.03345 |
|  292/1000 |      8s |        -34.75241 |  |   0.795285 |   -38.24934 |
|  293/1000 |      8s |        -34.75018 |  |   0.782572 |   -37.10315 |
|  294/1000 |      8s |        -34.70778 |  |   0.799226 |   -38.58475 |
|  295/1000 |      8s |        -34.76223 |  |   0.800325 |   -38.78367 |
|  296/1000 |      8s |        -34.83154 |  |   0.800789 |   -38.38796 |
|  297/1000 |      8s |        -34.80264 |  |   0.799917 |   -38.16510 |
|  298/1000 |      8s |        -34.89366 |  |   0.801794 |   -38.86860 |
|  299/1000 |      8s |        -34.76208 |  |   0.801808 |   -38.71842 |
|  300/1000 |      8s |        -34.86855 |  |   0.799411 |   -38.60169 |
|  301/1000 |      8s |        -35.24469 |  |   0.800137 |   -38.89033 |
